"ID","Created Date","Updated Date","Owner","description","product"
"aeecfece-9dc7-4ce4-88f3-3cc45ccab8aa",2024-04-02T17:33:21Z,2024-04-02T17:33:21Z,"9a64f577-0ddb-46e6-86f2-3d30f8940777","Extremely compact, wide dispersion loudspeaker","364071e8-e818-479b-9688-1f358eebb130"
"bb633ebe-b43e-4349-8559-b24857167d3a",2024-04-02T17:33:22Z,2024-05-29T18:50:16Z,"9a64f577-0ddb-46e6-86f2-3d30f8940777",,
"c11b836b-523a-4907-857b-a82742187f99",2024-04-02T17:33:22Z,2024-04-02T17:33:22Z,"9a64f577-0ddb-46e6-86f2-3d30f8940777","The new benchmark in high power DJ monitoring","e3e1da97-3eb2-42f8-b80e-f5ec18089609"
"c1baec55-9e22-4b38-b580-da2ee62895eb",2024-04-02T17:33:21Z,2024-04-02T17:33:21Z,"9a64f577-0ddb-46e6-86f2-3d30f8940777","Compact loudspeaker capable of high output and full range use","780a225a-c5d8-4939-a570-90d40865f238"
"c342224e-a73f-4b22-a949-6eba1bf9f11f",2024-04-02T17:33:21Z,2024-04-02T17:33:21Z,"9a64f577-0ddb-46e6-86f2-3d30f8940777","Flown 60° mid-high Vero loudspeaker","c665008e-a037-4f53-8adf-ff666768a757"
"c5531690-1ac9-4264-847a-0c0ab243b9ba",2024-04-02T17:33:21Z,2024-04-02T17:33:21Z,"9a64f577-0ddb-46e6-86f2-3d30f8940777","Low-mid section of the Dance Stack","1332fc8f-bad8-4c49-a8c4-25660427716c"
"c9250358-5951-404d-8b0d-7733561914c4",2024-04-02T17:33:21Z,2024-04-02T17:33:21Z,"9a64f577-0ddb-46e6-86f2-3d30f8940777","The F5.2 is an ultra compact loudspeaker with Funktion-One's signature audio quality","7aaa4847-fc37-46f0-b5cd-1c93d9f73378"
"cccafae6-517a-4d76-8c6a-33e268abc718",2024-04-02T17:33:21Z,2024-04-02T17:33:21Z,"9a64f577-0ddb-46e6-86f2-3d30f8940777","Compact point source stage monitor","8db839d1-78ba-404d-bf46-50dae4cb9c40"
"d0278070-0a4b-45e1-834e-ff9b1aa60442",2024-04-02T17:33:22Z,2024-04-02T17:33:22Z,"9a64f577-0ddb-46e6-86f2-3d30f8940777","Very high intensity loudspeaker enclosure","e5405d13-1d47-4311-82f2-30f13b63c004"
"d25b3174-63dc-4ee0-914b-499fb4722628",2024-04-02T17:33:21Z,2024-04-02T17:33:21Z,"9a64f577-0ddb-46e6-86f2-3d30f8940777","Horn loaded Funktion-One bass performance","3a30e712-fc9e-438b-b75c-4c797adf0d8a"
"d2830769-c521-43f2-8e1a-0ca73ad65023",2024-04-02T17:33:21Z,2024-04-02T17:33:21Z,"9a64f577-0ddb-46e6-86f2-3d30f8940777",,"35f5e069-dd57-4190-b1ef-903bd7107c66"
"d5828231-7903-49dc-a66b-336be43c982a",2024-04-02T17:33:22Z,2024-04-02T17:33:22Z,"9a64f577-0ddb-46e6-86f2-3d30f8940777","Very high intensity mid-high touring loudspeaker","da671f36-eba9-4dab-acc1-f03549a08547"
"d6d8c1af-2148-4d9d-9e97-d6d4b657174b",2024-04-02T17:33:22Z,2024-04-02T17:33:22Z,"9a64f577-0ddb-46e6-86f2-3d30f8940777","State of the art Funktion-One sound quality","d835f41e-8fec-4744-b19b-f59e719d780f"
